Date,office,office,state,party,candidate,prediction
2020-10-27,UVA,P,AK,R,TRUMP,favored
2020-10-27,UVA,P,AL,R,TRUMP,safe
2020-10-27,UVA,P,AR,R,TRUMP,safe
2020-10-27,UVA,P,AZ,D,BIDEN,lean
2020-10-27,UVA,P,CA,D,BIDEN,safe
2020-10-27,UVA,P,CO,D,BIDEN,safe
2020-10-27,UVA,P,CT,D,BIDEN,safe
2020-10-27,UVA,P,DC,D,BIDEN,safe
2020-10-27,UVA,P,DE,D,BIDEN,safe
2020-10-27,UVA,P,FL,D,BIDEN,lean
2020-10-27,UVA,P,GA,D,BIDEN,lean
2020-10-27,UVA,P,HI,D,BIDEN,safe
2020-10-27,UVA,P,IA,R,TRUMP,lean
2020-10-27,UVA,P,ID,R,TRUMP,safe
2020-10-27,UVA,P,IL,D,BIDEN,safe
2020-10-27,UVA,P,IN,R,TRUMP,favored
2020-10-27,UVA,P,KS,R,TRUMP,favored
2020-10-27,UVA,P,KY,R,TRUMP,safe
2020-10-27,UVA,P,LA,R,TRUMP,safe
2020-10-27,UVA,P,MA,D,BIDEN,safe
2020-10-27,UVA,P,MD,D,BIDEN,safe
2020-10-27,UVA,P,ME,D,BIDEN,safe
2020-10-27,UVA,P,ME1,D,BIDEN,safe
2020-10-27,UVA,P,ME2,D,BIDEN,safe
2020-10-27,UVA,P,MI,D,BIDEN,favored
2020-10-27,UVA,P,MN,D,BIDEN,favored
2020-10-27,UVA,P,MO,R,TRUMP,favored
2020-10-27,UVA,P,MS,R,TRUMP,safe
2020-10-27,UVA,P,MT,R,TRUMP,favored
2020-10-27,UVA,P,NC,D,BIDEN,lean
2020-10-27,UVA,P,ND,R,TRUMP,safe
2020-10-27,UVA,P,NE,R,TRUMP,favored
2020-10-27,UVA,P,NE1,R,TRUMP,favored
2020-10-27,UVA,P,NE2,R,TRUMP,favored
2020-10-27,UVA,P,NE3,R,TRUMP,favored
2020-10-27,UVA,P,NH,D,BIDEN,favored
2020-10-27,UVA,P,NJ,D,BIDEN,safe
2020-10-27,UVA,P,NM,D,BIDEN,safe
2020-10-27,UVA,P,NV,D,BIDEN,favored
2020-10-27,UVA,P,NY,D,BIDEN,safe
2020-10-27,UVA,P,OH,R,TRUMP,lean
2020-10-27,UVA,P,OK,R,TRUMP,safe
2020-10-27,UVA,P,OR,D,BIDEN,safe
2020-10-27,UVA,P,PA,D,BIDEN,favored
2020-10-27,UVA,P,RI,D,BIDEN,safe
2020-10-27,UVA,P,SC,R,TRUMP,safe
2020-10-27,UVA,P,SD,R,TRUMP,safe
2020-10-27,UVA,P,TN,R,TRUMP,safe
2020-10-27,UVA,P,TX,R,TRUMP,lean
2020-10-27,UVA,P,UT,R,TRUMP,safe
2020-10-27,UVA,P,VA,D,BIDEN,safe
2020-10-27,UVA,P,VT,D,BIDEN,safe
2020-10-27,UVA,P,WA,D,BIDEN,safe
2020-10-27,UVA,P,WI,D,BIDEN,favored
2020-10-27,UVA,P,WV,R,TRUMP,safe
2020-10-27,UVA,P,WY,R,TRUMP,safe